,movies,year,imdb,metascore,votes,n_imdb
1666,Inception,2010,8.8,74,1749660,88
1667,Shutter Island,2010,8.1,63,955833,81
1668,Toy Story 3,2010,8.3,92,650191,83
1669,Black Swan,2010,8.0,79,624976,80
1670,Iron Man 2,2010,7.0,57,615390,70
1671,How to Train Your Dragon,2010,8.1,74,579767,81
1672,The King's Speech,2010,8.0,88,572689,80
1673,The Social Network,2010,7.7,95,550131,77
1674,Kick-Ass,2010,7.6,66,483945,76
1675,Despicable Me,2010,7.7,72,445318,77
1676,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,399056,77
1677,Tangled,2010,7.8,71,347530,78
1678,Alice in Wonderland,2010,6.5,53,346332,65
1679,Scott Pilgrim vs. the World,2010,7.5,69,323370,75
1680,Easy A,2010,7.1,72,318111,71
1681,127 Hours,2010,7.6,82,313599,76
1682,The Town,2010,7.6,74,313029,76
1683,The Fighter,2010,7.8,79,307096,78
1684,The Expendables,2010,6.5,45,299635,65
1685,Due Date,2010,6.6,51,296647,66
1686,TRON: Legacy,2010,6.8,49,288790,68
1687,True Grit,2010,7.6,80,272468,76
1688,Salt,2010,6.4,65,270497,64
1689,RED,2010,7.1,60,264670,71
1690,The Book of Eli,2010,6.9,53,260074,69
1691,Clash of the Titans,2010,5.8,39,250002,58
1692,Prince of Persia: The Sands of Time,2010,6.6,50,247362,66
1693,Insidious,2010,6.8,52,242324,68
1694,Robin Hood,2010,6.7,53,233329,67
1695,The A-Team,2010,6.8,47,230174,68
1696,The Other Guys,2010,6.7,64,214105,67
1697,The Twilight Saga: Eclipse,2010,5.0,58,204345,50
1698,Grown Ups,2010,6.0,30,203619,60
1699,The Tourist,2010,6.0,37,199877,60
1700,Megamind,2010,7.3,63,199275,73
1701,Predators,2010,6.4,51,192652,64
1702,Machete,2010,6.6,60,178464,66
1703,Unstoppable,2010,6.8,69,167652,68
1704,Knight and Day,2010,6.3,46,165211,63
1705,Blue Valentine,2010,7.4,81,164087,74
1706,The Next Three Days,2010,7.4,52,162372,74
1707,Love & Other Drugs,2010,6.7,55,162048,67
1708,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,160002,59
1709,Shrek Forever After,2010,6.3,58,159518,63
1710,Get Him to the Greek,2010,6.4,65,158320,64
1711,Hot Tub Time Machine,2010,6.4,63,150289,64
1712,Resident Evil: Afterlife,2010,5.9,37,149154,59
1713,Tucker and Dale vs Evil,2010,7.6,65,148605,76
1714,The Ghost Writer,2010,7.2,77,145180,72
1715,Date Night,2010,6.3,56,140782,63
1716,The Karate Kid,2010,6.2,61,140774,62
1717,The Sorcerer's Apprentice,2010,6.1,46,139677,61
1718,Buried,2010,7.0,65,134879,70
1719,The Last Airbender,2010,4.1,20,133384,41
1720,Never Let Me Go,2010,7.2,69,126332,72
1721,Remember Me,2010,7.1,40,126267,71
1722,Winter's Bone,2010,7.2,90,123766,72
1723,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,123206,63
1724,Dear John,2010,6.3,43,123147,63
1725,It's Kind of a Funny Story,2010,7.1,63,122084,71
1726,Green Zone,2010,6.8,63,119911,68
1727,The Kids Are All Right,2010,7.0,86,118737,70
1728,Devil,2010,6.2,44,118604,62
1729,Incendies,2010,8.2,80,114862,82
1730,She's Out of My League,2010,6.4,46,112517,64
1731,Life as We Know It,2010,6.6,39,108981,66
1732,The Bounty Hunter,2010,5.5,22,108794,55
1733,From Paris with Love,2010,6.5,42,105095,65
1734,Valentine's Day,2010,5.7,34,104110,57
1735,Let Me In,2010,7.1,79,103965,71
1736,The Crazies,2010,6.5,55,102075,65
1737,The Way Back,2010,7.3,66,99188,73
1738,Little Fockers,2010,5.5,27,96106,55
1739,The Wolfman,2010,5.8,43,95785,58
1740,Repo Men,2010,6.3,32,94120,63
1741,Wall Street: Money Never Sleeps,2010,6.2,59,91484,62
1742,Paranormal Activity 2,2010,5.7,53,90759,57
1743,Legion,2010,5.2,32,89471,52
1744,I Saw the Devil,2010,7.8,67,88990,78
1745,Faster,2010,6.5,44,88965,65
1746,Dinner for Schmucks,2010,5.9,56,88671,59
1747,The Switch,2010,6.1,52,87890,61
1748,My Name Is Khan,2010,8.0,50,87111,80
1749,Hereafter,2010,6.5,56,85834,65
1750,The American,2010,6.3,61,85387,63
1751,Letters to Juliet,2010,6.6,50,83780,66
1752,Ip Man 2,2010,7.6,67,83361,76
1753,A Nightmare on Elm Street,2010,5.2,35,83136,52
1754,Monsters,2010,6.4,63,82902,64
1755,Edge of Darkness,2010,6.6,55,82781,66
1756,Leap Year,2010,6.5,33,82467,65
1757,Skyline,2010,4.4,26,82369,44
1758,Beginners,2010,7.2,81,82100,72
1759,The Losers,2010,6.4,44,81155,64
1760,Saw 3D: The Final Chapter,2010,5.6,24,80533,56
1761,Cop Out,2010,5.6,31,80133,56
1762,Killers,2010,5.4,21,79971,54
1763,Piranha 3D,2010,5.5,53,79563,55
1764,Biutiful,2010,7.5,58,78105,75
1765,Submarine,2010,7.3,76,77547,73
1766,Eat Pray Love,2010,5.7,50,74087,57
1767,Elite Squad: The Enemy Within,2010,8.1,71,73320,81
1768,Flipped,2010,7.7,45,72314,77
1769,Legend of the Guardians: The Owls of Ga'Hoole,2010,7.0,53,72093,70
1770,Centurion,2010,6.4,62,71922,64
1771,The Last Song,2010,5.9,33,70882,59
1772,Super,2010,6.8,50,68928,68
1773,Burlesque,2010,6.4,47,68545,64
1774,Sex and the City 2,2010,4.4,27,66779,44
1775,I Spit on Your Grave,2010,6.3,27,65585,63
1776,Morning Glory,2010,6.5,57,65100,65
1777,The Secret World of Arrietty,2010,7.6,80,64966,76
1778,Four Lions,2010,7.3,68,64248,73
1779,Inside Job,2010,8.3,88,63698,83
1780,Trollhunter,2010,7.0,61,61658,70
1781,Frozen,2010,6.2,43,60375,62
1782,The Debt,2010,6.9,65,59744,69
1783,Gulliver's Travels,2010,4.9,33,59099,49
1784,Exit Through the Gift Shop,2010,8.0,85,57165,80
1785,13 Assassins,2010,7.6,84,56882,76
1786,When in Rome,2010,5.6,25,55975,56
1787,Going the Distance,2010,6.3,51,53677,63
1788,Charlie St. Cloud,2010,6.5,37,53405,65
1789,Senna,2010,8.6,79,52419,86
1790,Jackass 3D,2010,7.0,56,52120,70
1791,Step Up 3D,2010,6.2,45,52024,62
1792,Takers,2010,6.2,45,51766,62
1793,Animal Kingdom,2010,7.3,83,50460,73
1794,Jonah Hex,2010,4.7,33,50436,47
1795,All Good Things,2010,6.3,57,47977,63
1796,Hesher,2010,7.0,45,47583,70
1797,You Again,2010,5.8,28,45328,58
1798,The Last Exorcism,2010,5.6,63,44921,56
1799,Everything Must Go,2010,6.4,65,44883,64
1800,The Back-up Plan,2010,5.3,34,44859,53
1801,Rabbit Hole,2010,7.0,76,44467,70
1802,London Boulevard,2010,6.2,52,43810,62
1803,Don't Be Afraid of the Dark,2010,5.6,56,43728,56
1804,Last Night,2010,6.6,50,43714,66
1805,The Runaways,2010,6.6,65,42961,66
1806,Vampires Suck,2010,3.4,18,42707,34
1807,Fair Game,2010,6.8,69,42502,68
1808,You Will Meet a Tall Dark Stranger,2010,6.3,51,40749,63
1809,Death at a Funeral,2010,5.7,51,40334,57
1810,The Company Men,2010,6.8,69,40117,68
1811,Black Death,2010,6.4,71,40013,64
1812,How Do You Know,2010,5.4,46,39468,54
1813,Somewhere,2010,6.3,67,39371,63
1814,MacGruber,2010,5.5,43,38887,55
1815,Conviction,2010,7.2,61,38829,72
1816,Trust,2010,6.9,60,38429,69
1817,Catfish,2010,7.1,65,38080,71
1818,Stake Land,2010,6.5,66,37993,65
1819,Stone,2010,5.4,58,37978,54
1820,13,2010,6.1,29,37630,61
1821,The Ward,2010,5.6,38,37206,56
1822,Diary of a Wimpy Kid,2010,6.2,56,37149,62
1823,Tooth Fairy,2010,5.0,36,36017,50
1824,In a Better World,2010,7.6,65,35798,76
1825,The Spy Next Door,2010,5.4,27,35285,54
1826,Greenberg,2010,6.1,76,33056,61
1827,Wild Target,2010,6.8,41,32971,68
1828,Cyrus,2010,6.3,74,31994,63
1829,The Illusionist,2010,7.5,82,31057,75
1830,The Killer Inside Me,2010,6.1,53,31037,61
1831,Rubber,2010,5.8,59,30066,58
1832,6 Souls,2010,6.1,28,29416,61
1833,"Tomorrow, When the War Began",2010,6.2,54,28826,62
1834,The Whistleblower,2010,7.2,59,28813,72
1835,Happythankyoumoreplease,2010,6.8,45,28012,68
1836,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,658952,81
1837,Thor,2011,7.0,57,638206,70
1838,The Intouchables,2011,8.5,57,635584,85
1839,Captain America: The First Avenger,2011,6.9,66,617252,69
1840,X-Men: First Class,2011,7.7,65,587596,77
1841,Drive,2011,7.8,78,502153,78
1842,Limitless,2011,7.4,59,475154,74
1843,Rise of the Planet of the Apes,2011,7.6,68,460981,76
1844,Source Code,2011,7.5,74,437041,75
1845,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,431317,66
1846,Crazy Stupid Love,2011,7.4,68,424098,74
1847,The Hangover Part II,2011,6.5,44,419087,65
1848,Mission: Impossible - Ghost Protocol,2011,7.4,73,412568,74
1849,Warrior,2011,8.2,71,389903,82
1850,Horrible Bosses,2011,6.9,57,389128,69
1851,Sherlock Holmes: A Game of Shadows,2011,7.5,48,381615,75
1852,The Help,2011,8.1,62,377739,81
1853,The Girl with the Dragon Tattoo,2011,7.8,71,374074,78
1854,Transformers: Dark of the Moon,2011,6.3,42,357215,63
1855,Midnight in Paris,2011,7.7,81,345023,77
1856,In Time,2011,6.7,53,337353,67
1857,Fast Five,2011,7.3,66,320106,73
1858,Moneyball,2011,7.6,87,316096,76
1859,Super 8,2011,7.0,72,313613,70
1860,Friends with Benefits,2011,6.6,63,306955,66
1861,50/50,2011,7.7,72,294709,77
1862,Real Steel,2011,7.1,56,278082,71
1863,Hugo,2011,7.5,83,276464,75
1864,Green Lantern,2011,5.5,39,245947,55
1865,Bridesmaids,2011,6.8,75,242872,68
1866,Unknown,2011,6.9,56,229539,69
1867,The Grey,2011,6.8,64,223314,68
1868,The Adjustment Bureau,2011,7.1,60,221454,71
1869,The Descendants,2011,7.3,84,219729,73
1870,Kung Fu Panda 2,2011,7.2,67,216530,72
1871,Paul,2011,7.0,57,214314,70
1872,Sucker Punch,2011,6.1,33,214077,61
1873,I Am Number Four,2011,6.1,36,212881,61
1874,The Artist,2011,7.9,89,211869,79
1875,Rango,2011,7.2,75,208332,72
1876,The Ides of March,2011,7.1,67,203976,71
1877,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,201332,49
1878,The Adventures of Tintin,2011,7.3,68,196803,73
1879,Contagion,2011,6.6,70,196505,66
1880,Just Go with It,2011,6.4,33,194411,64
1881,The Lincoln Lawyer,2011,7.3,63,191336,73
1882,No Strings Attached,2011,6.2,50,191076,62
1883,Cowboys & Aliens,2011,6.0,50,190992,60
1884,A Separation,2011,8.3,95,186197,83
1885,Rio,2011,6.9,63,185302,69
1886,Bad Teacher,2011,5.6,47,176424,56
1887,Hanna,2011,6.8,65,173317,68
1888,Tinker Tailor Soldier Spy,2011,7.1,85,169485,71
1889,The Raid: Redemption,2011,7.6,73,168984,76
1890,Shame,2011,7.2,72,166420,72
1891,Battle Los Angeles,2011,5.8,37,164486,58
1892,The Tree of Life,2011,6.8,85,152378,68
1893,The Change-Up,2011,6.3,39,150414,63
1894,Immortals,2011,6.0,46,149826,60
1895,Melancholia,2011,7.1,80,147538,71
1896,The Green Hornet,2011,5.8,39,146024,58
1897,The Mechanic,2011,6.6,49,137266,66
1898,War Horse,2011,7.2,72,131979,72
1899,Puss in Boots,2011,6.6,65,128719,66
1900,Cars 2,2011,6.2,57,128583,62
1901,We Bought a Zoo,2011,7.1,58,123506,71
1902,One Day,2011,7.0,48,123307,70
1903,Tower Heist,2011,6.2,59,121785,62
1904,The Skin I Live In,2011,7.6,70,118744,76
1905,We Need to Talk About Kevin,2011,7.5,68,117705,75
1906,Scream 4,2011,6.2,52,115125,62
1907,Killer Elite,2011,6.5,44,114827,65
1908,J. Edgar,2011,6.6,59,113294,66
1909,Hall Pass,2011,5.9,45,111522,59
1910,Carnage,2011,7.2,61,108255,72
1911,The Thing,2011,6.2,49,107802,62
1912,Priest,2011,5.7,41,105472,57
1913,Margin Call,2011,7.1,76,103822,71
1914,Water for Elephants,2011,6.9,52,103641,69
1915,Johnny English Reborn,2011,6.3,46,102019,63
1916,Red Riding Hood,2011,5.5,29,99979,55
1917,Ghost Rider: Spirit of Vengeance,2011,4.3,34,99944,43
1918,The Three Musketeers,2011,5.8,35,96493,58
1919,Final Destination 5,2011,5.9,50,94640,59
1920,The Iron Lady,2011,6.4,54,93422,64
1921,The Rum Diary,2011,6.2,56,93079,62
1922,Fright Night,2011,6.4,64,92461,64
1923,Your Highness,2011,5.5,31,91449,55
1924,Attack the Block,2011,6.6,75,91163,66
1925,Extremely Loud & Incredibly Close,2011,6.9,46,91118,69
1926,A Dangerous Method,2011,6.4,76,90631,64
1927,Headhunters,2011,7.6,72,89042,76
1928,Conan the Barbarian,2011,5.2,36,88656,52
1929,Drive Angry,2011,5.4,44,88222,54
1930,30 Minutes or Less,2011,6.1,49,85325,61
1931,Colombiana,2011,6.4,45,84958,64
1932,Paranormal Activity 3,2011,5.8,59,83754,58
1933,Season of the Witch,2011,5.4,28,83512,54
1934,The Best Exotic Marigold Hotel,2011,7.3,62,83395,73
1935,The Rite,2011,6.0,38,83371,60
1936,Another Earth,2011,7.0,66,83269,70
1937,The Muppets,2011,7.1,75,81012,71
1938,Take Shelter,2011,7.4,85,80520,74
1939,Our Idiot Brother,2011,6.4,60,79337,64
1940,Goon,2011,6.8,64,78324,68
1941,My Week with Marilyn,2011,7.0,65,77757,70
1942,Haywire,2011,5.8,67,77426,58
1943,Mr. Popper's Penguins,2011,6.0,53,77284,60
1944,You're Next,2011,6.5,66,76044,65
1945,The Smurfs,2011,5.5,30,75230,55
1946,Justin Bieber: Never Say Never,2011,1.6,52,74908,16
1947,New Year's Eve,2011,5.7,22,74156,57
1948,The Guard,2011,7.3,78,73055,73
1949,Jane Eyre,2011,7.4,76,72267,74
1950,Young Adult,2011,6.3,71,71628,63
1951,The Inbetweeners Movie,2011,6.8,44,70979,68
1952,Beastly,2011,5.6,40,70807,56
1953,Abduction,2011,5.1,25,70656,51
1954,Jack and Jill,2011,3.3,23,68591,33
1955,Detachment,2011,7.7,52,66998,77
1956,Killer Joe,2011,6.7,62,66141,67
1957,What's Your Number?,2011,6.1,35,66114,61
1958,God Bless America,2011,7.2,56,64903,72
1959,The Sitter,2011,5.7,39,64566,57
1960,A Very Harold & Kumar 3D Christmas,2011,6.3,61,60539,63
1961,The Eagle,2011,6.2,55,59744,62
1962,"Jeff, Who Lives at Home",2011,6.5,60,59276,65
1963,Machine Gun Preacher,2011,6.8,43,58721,68
1964,The Awakening,2011,6.5,53,58282,65
1965,Red State,2011,6.2,50,58241,62
1966,Dream House,2011,6.0,35,57644,60
1967,The Devil's Double,2011,7.1,52,57456,71
1968,Salmon Fishing in the Yemen,2011,6.8,58,57411,68
1969,Larry Crowne,2011,6.1,41,56544,61
1970,Like Crazy,2011,6.7,68,54333,67
1971,The Darkest Hour,2011,4.9,18,53997,49
1972,Something Borrowed,2011,5.9,36,52984,59
1973,Bernie,2011,6.8,75,52419,68
1974,The Art of Getting By,2011,6.6,36,52234,66
1975,Win Win,2011,7.2,75,51091,72
1976,Zookeeper,2011,5.2,30,50638,52
1977,Sanctum,2011,5.9,42,50451,59
1978,Apollo 18,2011,5.2,24,50347,52
1979,Perfect Sense,2011,7.1,55,49427,71
1980,Arthur,2011,5.7,36,48159,57
1981,Gnomeo & Juliet,2011,6.0,53,48110,60
1982,Take Me Home Tonight,2011,6.3,42,47357,63
1983,The Dilemma,2011,5.3,46,47273,53
1984,Grave Encounters,2011,6.1,33,46540,61
1985,Don 2,2011,7.1,49,44871,71
1986,Martha Marcy May Marlene,2011,6.9,75,44782,69
1987,The Flowers of War,2011,7.6,46,44208,76
1988,The Beaver,2011,6.7,60,44174,67
1989,Arthur Christmas,2011,7.1,69,42679,71
1990,Seeking Justice,2011,6.2,38,42048,62
1991,Footloose,2011,5.9,58,41961,59
1992,Hobo with a Shotgun,2011,6.1,55,40772,61
1993,Soul Surfer,2011,7.1,53,40354,71
1994,Kill the Irishman,2011,7.1,50,40162,71
1995,Friends with Kids,2011,6.2,55,38744,62
1996,The Big Year,2011,6.2,53,38622,62
1997,Trespass,2011,5.3,37,38403,53
1998,Monte Carlo,2011,5.8,43,37499,58
1999,Ironclad,2011,6.2,42,37412,62
2000,Anonymous,2011,6.9,50,37157,69
2001,Happy Feet Two,2011,5.9,50,36965,59
2002,Ra.One,2011,4.8,60,34571,48
2003,Cedar Rapids,2011,6.3,70,34384,63
2004,The Hunter,2011,6.8,63,34055,68
2005,The Divide,2011,5.8,28,32950,58
2006,The Dark Knight Rises,2012,8.4,78,1331712,84
2007,Django Unchained,2012,8.4,81,1153086,84
2008,The Avengers,2012,8.1,69,1126222,81
2009,The Hunger Games,2012,7.2,68,775256,72
2010,The Hobbit: An Unexpected Journey,2012,7.9,58,702240,79
2011,Silver Linings Playbook,2012,7.7,81,601874,77
2012,Skyfall,2012,7.8,81,576956,78
2013,Prometheus,2012,7.0,64,524923,70
2014,Ted,2012,6.9,62,523232,69
2015,Argo,2012,7.7,86,518104,77
2016,Life of Pi,2012,7.9,79,512616,79
2017,The Amazing Spider-Man,2012,7.0,66,507865,70
2018,Looper,2012,7.4,84,484267,74
2019,21 Jump Street,2012,7.2,69,462757,72
2020,The Perks of Being a Wallflower,2012,8.0,67,409165,80
2021,The Cabin in the Woods,2012,7.0,72,323475,70
2022,Brave,2012,7.1,69,321621,71
2023,Cloud Atlas,2012,7.5,55,318101,75
2024,Wreck-It Ralph,2012,7.7,72,317657,77
2025,Men in Black 3,2012,6.8,58,296588,68
2026,Flight,2012,7.3,76,293241,73
2027,Moonrise Kingdom,2012,7.8,84,280640,78
2028,Les Misérables,2012,7.6,63,276161,76
2029,Jack Reacher,2012,7.0,50,273616,70
2030,The Expendables 2,2012,6.6,51,270769,66
2031,Taken 2,2012,6.3,45,265398,63
2032,The Bourne Legacy,2012,6.7,61,261148,67
2033,Snow White and the Huntsman,2012,6.1,57,252550,61
2034,Pitch Perfect,2012,7.2,66,246399,72
2035,Zero Dark Thirty,2012,7.4,95,242536,74
2036,The Dictator,2012,6.4,58,242088,64
2037,John Carter,2012,6.6,51,232833,66
2038,Dredd,2012,7.1,60,228366,71
2039,The Hunt,2012,8.3,77,226779,83
2040,Chronicle,2012,7.1,69,224407,71
2041,Total Recall,2012,6.3,43,222858,63
2042,Lincoln,2012,7.4,86,222350,74
2043,Dark Shadows,2012,6.2,55,222280,62
2044,Battleship,2012,5.8,41,221136,58
2045,The Place Beyond the Pines,2012,7.3,68,218448,73
2046,Seven Psychopaths,2012,7.2,66,215370,72
2047,Lawless,2012,7.3,58,207972,73
2048,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,206922,55
2049,End of Watch,2012,7.6,68,205648,76
2050,Hotel Transylvania,2012,7.1,47,194925,71
2051,Sinister,2012,6.8,53,189875,68
2052,American Reunion,2012,6.7,49,187608,67
2053,Safe House,2012,6.8,52,186036,68
2054,Project X,2012,6.7,48,173347,67
2055,The Impossible,2012,7.6,73,170693,76
2056,Wrath of the Titans,2012,5.7,37,167880,57
2057,The Vow,2012,6.8,43,167875,68
2058,Ice Age: Continental Drift,2012,6.6,49,167333,66
2059,This Means War,2012,6.3,31,163287,63
2060,The Woman in Black,2012,6.4,62,160726,64
2061,Mud,2012,7.4,76,152443,74
2062,Rise of the Guardians,2012,7.3,57,140103,73
2063,Abraham Lincoln: Vampire Hunter,2012,5.9,42,139597,59
2064,Madagascar 3: Europe's Most Wanted,2012,6.9,60,138731,69
2065,Man on a Ledge,2012,6.6,40,135112,66
2066,Underworld Awakening,2012,6.4,39,134753,64
2067,The Master,2012,7.1,86,125075,71
2068,Spring Breakers,2012,5.3,63,122231,53
2069,Killing Them Softly,2012,6.2,64,121712,62
2070,Resident Evil: Retribution,2012,5.4,39,121694,54
2071,Magic Mike,2012,6.1,72,120582,61
2072,The Campaign,2012,6.1,50,116139,61
2073,This Is 40,2012,6.2,59,115407,62
2074,The Watch,2012,5.7,36,113294,57
2075,Savages,2012,6.5,59,112874,65
2076,Safety Not Guaranteed,2012,7.0,72,109846,70
2077,Contraband,2012,6.5,51,109076,65
2078,Premium Rush,2012,6.5,66,103531,65
2079,Seeking a Friend for the End of the World,2012,6.7,59,99551,67
2080,Get the Gringo,2012,7.0,60,95946,70
2081,Safe,2012,6.5,55,93522,65
2082,The Lucky One,2012,6.5,39,90672,65
2083,Ruby Sparks,2012,7.2,67,88962,72
2084,Lockout,2012,6.1,48,88052,61
2085,The Lorax,2012,6.4,46,87235,64
2086,The Five-Year Engagement,2012,6.2,62,85904,62
2087,Frankenweenie,2012,7.0,74,85690,70
2088,ParaNorman,2012,7.0,72,83704,70
2089,Amour,2012,7.9,94,81946,79
2090,Anna Karenina,2012,6.6,63,81750,66
2091,Here Comes the Boom,2012,6.4,40,80309,64
2092,Journey 2: The Mysterious Island,2012,5.8,41,79931,58
2093,That's My Boy,2012,5.6,31,79847,56
2094,The Raven,2012,6.4,44,78381,64
2095,To Rome with Love,2012,6.3,54,77484,63
2096,Mirror Mirror,2012,5.6,46,77467,56
2097,Stuck in Love,2012,7.3,49,76858,73
2098,Beasts of the Southern Wild,2012,7.3,86,76065,73
2099,Disconnect,2012,7.5,64,68601,75
2100,Rock of Ages,2012,5.9,47,68252,59
2101,The Words,2012,7.1,37,68175,71
2102,Red Dawn,2012,5.4,31,68059,54
2103,Wanderlust,2012,5.6,53,67661,56
2104,Hitchcock,2012,6.8,55,66668,68
2105,Upside Down,2012,6.4,45,64820,64
2106,House at the End of the Street,2012,5.6,31,64706,56
2107,Gangs of Wasseypur,2012,8.2,89,64684,82
2108,What to Expect When You're Expecting,2012,5.7,41,64017,57
2109,The Iceman,2012,6.9,60,63468,69
2110,Act of Valor,2012,6.5,40,62701,65
2111,The First Time,2012,6.9,55,60580,69
2112,Robot & Frank,2012,7.1,67,57855,71
2113,The Man with the Iron Fists,2012,5.4,51,57362,54
2114,Rust and Bone,2012,7.5,73,57014,75
2115,Frances Ha,2012,7.4,82,56962,74
2116,Paranormal Activity 4,2012,4.6,40,56799,46
2117,Searching for Sugar Man,2012,8.2,79,56547,82
2118,Silent Hill: Revelation,2012,5.0,16,55367,50
2119,Trouble with the Curve,2012,6.8,58,54206,68
2120,Red Lights,2012,6.2,36,53927,62
2121,The Possession,2012,5.9,45,52371,59
2122,V/H/S,2012,5.8,55,51205,58
2123,Step Up Revolution,2012,6.5,43,50143,65
2124,Stand Up Guys,2012,6.5,41,49488,65
2125,Arbitrage,2012,6.6,73,45829,66
2126,Bullet to the Head,2012,5.7,48,43618,57
2127,Bachelorette,2012,5.3,53,41928,53
2128,The Odd Life of Timothy Green,2012,6.6,47,41683,66
2129,The Imposter,2012,7.5,77,40949,75
2130,Cosmopolis,2012,5.0,58,40918,50
2131,The Collection,2012,6.1,38,40874,61
2132,Stolen,2012,5.5,43,40474,55
2133,Kon-Tiki,2012,7.2,62,40248,72
2134,Think Like a Man,2012,6.6,51,39856,66
2135,A Royal Affair,2012,7.6,73,39655,76
2136,The Sessions,2012,7.2,79,39182,72
2137,People Like Us,2012,7.1,49,38669,71
2138,Gone,2012,5.9,36,38344,59
2139,Hope Springs,2012,6.3,65,37840,63
2140,One for the Money,2012,5.3,22,37622,53
2141,On the Road,2012,6.1,56,37071,61
2142,Byzantium,2012,6.5,66,36819,65
2143,Piranha 3DD,2012,3.7,24,35725,37
2144,Deadfall,2012,6.3,52,35684,63
2145,Holy Motors,2012,7.1,84,35392,71
2146,The Tall Man,2012,5.9,52,35194,59
2147,A Thousand Words,2012,5.9,26,35053,59
2148,The Broken Circle Breakdown,2012,7.8,70,35036,78
2149,Talaash,2012,7.3,65,34621,73
2150,Promised Land,2012,6.6,55,33729,66
2151,John Dies at the End,2012,6.4,53,33610,64
2152,Liberal Arts,2012,6.7,55,33290,67
2153,The Guilt Trip,2012,5.8,50,33099,58
2154,The Paperboy,2012,5.8,45,32941,58
2155,The Devil Inside,2012,4.2,18,32829,42
2156,The Cold Light of Day,2012,4.9,22,32256,49
2157,Hit and Run,2012,6.1,50,31836,61
2158,Maniac,2012,6.1,47,31342,61
2159,Red Tails,2012,5.9,46,31121,59
2160,Would You Rather,2012,5.7,20,30701,57
2161,Alex Cross,2012,5.1,30,30431,51
2162,The Act of Killing,2012,8.2,89,29706,82
2163,[REC] 3: Genesis,2012,5.0,45,29655,50
2164,The Company You Keep,2012,6.4,57,28972,64
2165,Wolf Children,2012,8.2,71,28572,82
2166,Chasing Mavericks,2012,7.2,45,28330,72
2167,Compliance,2012,6.4,68,27887,64
2168,The Three Stooges,2012,5.1,56,27766,51
2169,Celeste & Jesse Forever,2012,6.6,59,26975,66
2170,Playing for Keeps,2012,5.7,27,26779,57
2171,The Wolf of Wall Street,2013,8.2,75,976445,82
2172,Gravity,2013,7.7,96,678033,77
2173,Iron Man 3,2013,7.2,62,650703,72
2174,Man of Steel,2013,7.1,55,623776,71
2175,The Hunger Games: Catching Fire,2013,7.5,76,558646,75
2176,12 Years a Slave,2013,8.1,96,550148,81
2177,The Hobbit: The Desolation of Smaug,2013,7.9,66,548507,79
2178,World War Z,2013,7.0,63,533904,70
2179,Now You See Me,2013,7.3,50,532590,73
2180,Thor: The Dark World,2013,7.0,54,502874,70
2181,Prisoners,2013,8.1,74,498458,81
2182,Frozen,2013,7.5,74,493476,75
2183,Her,2013,8.0,90,440823,80
2184,Oblivion,2013,7.0,54,438862,70
2185,Star Trek: Into Darkness,2013,7.7,72,437339,77
2186,Pacific Rim,2013,6.9,65,432603,69
2187,The Great Gatsby,2013,7.3,55,416789,73
2188,American Hustle,2013,7.3,90,404733,73
2189,Dallas Buyers Club,2013,8.0,84,386646,80
2190,The Wolverine,2013,6.7,61,385074,67
2191,Elysium,2013,6.6,61,383771,66
2192,Rush,2013,8.1,75,377624,81
2193,Captain Phillips,2013,7.8,83,374156,78
2194,The Conjuring,2013,7.5,68,371501,75
2195,We're the Millers,2013,7.0,44,359628,70
2196,This Is the End,2013,6.6,67,349913,66
2197,Fast & Furious 6,2013,7.1,61,337624,71
2198,Despicable Me 2,2013,7.4,62,330661,74
2199,Monsters University,2013,7.3,65,278044,73
2200,The Secret Life of Walter Mitty,2013,7.3,54,267722,73
2201,The Hangover Part III,2013,5.8,30,259333,58
2202,About Time,2013,7.8,55,247130,78
2203,Lone Survivor,2013,7.5,60,237930,75
2204,Kick-Ass 2,2013,6.6,41,230391,66
2205,Olympus Has Fallen,2013,6.5,41,228535,65
2206,Snowpiercer,2013,7.0,84,224719,70
2207,The World's End,2013,7.0,81,222803,70
2208,Don Jon,2013,6.6,66,211151,66
2209,Ender's Game,2013,6.6,51,205755,66
2210,Escape Plan,2013,6.7,49,204563,67
2211,Warm Bodies,2013,6.9,60,204119,69
2212,The Lone Ranger,2013,6.4,37,203124,64
2213,Gangster Squad,2013,6.7,40,190994,67
2214,Oz the Great and Powerful,2013,6.3,44,188773,63
2215,White House Down,2013,6.4,52,185649,64
2216,A Good Day to Die Hard,2013,5.3,28,183085,53
2217,Pain & Gain,2013,6.4,45,181116,64
2218,Hansel & Gretel: Witch Hunters,2013,6.1,23,177815,61
2219,After Earth,2013,4.8,33,176844,48
2220,2 Guns,2013,6.7,55,176467,67
2221,The Internship,2013,6.3,42,175434,63
2222,Blue Jasmine,2013,7.3,78,174109,73
2223,The Purge,2013,5.7,41,174029,57
